Edge - Vertices 	 	Weight
1198 - 3110	 	 	1
539 - 3111	 	 	26
4215 - 3112	 	 	22
3812 - 3113	 	 	3
3241 - 3114	 	 	19
3047 - 3115	 	 	8
2529 - 3116	 	 	11
903 - 3117	 	 	12
1525 - 3118	 	 	21
4752 - 3119	 	 	7
4174 - 3120	 	 	18
2839 - 3121	 	 	1
2428 - 3122	 	 	20
1396 - 3123	 	 	12
2915 - 3124	 	 	15
2754 - 3125	 	 	26
3215 - 3126	 	 	28
4635 - 3127	 	 	3
2000 - 3128	 	 	20
4047 - 3129	 	 	11
89 - 3130	 	 	1
1223 - 3131	 	 	16
3809 - 3132	 	 	4
1878 - 3133	 	 	20
4067 - 3134	 	 	16
571 - 3135	 	 	11
3271 - 3136	 	 	49
135 - 3137	 	 	8
2348 - 3138	 	 	2
2912 - 3139	 	 	15
958 - 3140	 	 	21
2356 - 3141	 	 	5
2682 - 3142	 	 	22
1197 - 3143	 	 	2
1632 - 3144	 	 	9
3450 - 3145	 	 	16
1275 - 3146	 	 	29
4829 - 3147	 	 	10
2562 - 3148	 	 	7
1619 - 3149	 	 	1
1084 - 3150	 	 	3
985 - 3151	 	 	8
1526 - 3152	 	 	8
1297 - 3153	 	 	14
3447 - 3154	 	 	18
1393 - 3155	 	 	37
211 - 3156	 	 	20
2597 - 3157	 	 	59
1351 - 3158	 	 	16
4016 - 3159	 	 	3
2621 - 3160	 	 	9
1859 - 3161	 	 	3
3699 - 3162	 	 	8
741 - 3163	 	 	53
448 - 3164	 	 	38
1914 - 3165	 	 	27
2476 - 3166	 	 	4
2287 - 3167	 	 	11
3900 - 3168	 	 	17
1379 - 3169	 	 	4
1308 - 3170	 	 	6
2423 - 3171	 	 	32
2524 - 3172	 	 	3
1312 - 3173	 	 	2
523 - 3174	 	 	5
3338 - 3175	 	 	31
987 - 3176	 	 	41
68 - 3177	 	 	2
3662 - 3178	 	 	7
1141 - 3179	 	 	19
1186 - 3180	 	 	9
324 - 3181	 	 	9
1430 - 3182	 	 	26
4518 - 3183	 	 	13
3233 - 3184	 	 	4
4680 - 3185	 	 	14
2608 - 3186	 	 	2
2777 - 3187	 	 	6
1677 - 3188	 	 	5
3555 - 3189	 	 	2
4365 - 3190	 	 	24
4391 - 3191	 	 	32
1648 - 3192	 	 	3
1136 - 3193	 	 	4
4882 - 3194	 	 	15
2324 - 3195	 	 	71
2126 - 3196	 	 	27
1621 - 3197	 	 	21
1989 - 3198	 	 	24
3253 - 3199	 	 	10
1345 - 3200	 	 	3
817 - 3201	 	 	41
3989 - 3202	 	 	15
42 - 3203	 	 	31
4716 - 3204	 	 	11
4255 - 3205	 	 	14
3932 - 3206	 	 	14
1008 - 3207	 	 	6
2055 - 3208	 	 	5
3212 - 3209	 	 	13
936 - 3210	 	 	16
1983 - 3211	 	 	17
733 - 3212	 	 	17
246 - 3213	 	 	41
3361 - 3214	 	 	19
4183 - 3215	 	 	5
2924 - 3216	 	 	14
1231 - 3217	 	 	7
1509 - 3218	 	 	6
60 - 3219	 	 	4
2432 - 3220	 	 	13
4668 - 3221	 	 	11
169 - 3222	 	 	23
254 - 3223	 	 	12
512 - 3224	 	 	19
2318 - 3225	 	 	1
2957 - 3226	 	 	31
3075 - 3227	 	 	33
3135 - 3228	 	 	17
3784 - 3229	 	 	21
1029 - 3230	 	 	22
3536 - 3231	 	 	19
2874 - 3232	 	 	3
2553 - 3233	 	 	7
3862 - 3234	 	 	21
253 - 3235	 	 	16
2510 - 3236	 	 	5
1494 - 3237	 	 	17
1387 - 3238	 	 	19
2907 - 3239	 	 	6
4585 - 3240	 	 	27
215 - 3241	 	 	15
4306 - 3242	 	 	47
3379 - 3243	 	 	3
3063 - 3244	 	 	1
2222 - 3245	 	 	15
3520 - 3246	 	 	2
2289 - 3247	 	 	7
1807 - 3248	 	 	14
3821 - 3249	 	 	32
4582 - 3250	 	 	20
1270 - 3251	 	 	57
1231 - 3252	 	 	3
2945 - 3253	 	 	5
4887 - 3254	 	 	16
590 - 3255	 	 	11
3319 - 3256	 	 	6
1450 - 3257	 	 	3
3863 - 3258	 	 	34
3002 - 3259	 	 	14
1864 - 3260	 	 	8
555 - 3261	 	 	1
1954 - 3262	 	 	15
1905 - 3263	 	 	29
3398 - 3264	 	 	8
4871 - 3265	 	 	36
1751 - 3266	 	 	4
3615 - 3267	 	 	2
2122 - 3268	 	 	6
4405 - 3269	 	 	17
846 - 3270	 	 	3
971 - 3271	 	 	5
976 - 3272	 	 	22
79 - 3273	 	 	19
751 - 3274	 	 	28
917 - 3275	 	 	11
4732 - 3276	 	 	6
3414 - 3277	 	 	14
2610 - 3278	 	 	7
1321 - 3279	 	 	6
586 - 3280	 	 	28
1956 - 3281	 	 	23
770 - 3282	 	 	14
2372 - 3283	 	 	7
3048 - 3284	 	 	32
4533 - 3285	 	 	35
4591 - 3286	 	 	26
962 - 3287	 	 	8
4704 - 3288	 	 	15
511 - 3289	 	 	13
963 - 3290	 	 	13
2205 - 3291	 	 	14
3675 - 3292	 	 	9
4782 - 3293	 	 	15
2219 - 3294	 	 	14
1444 - 3295	 	 	15
2564 - 3296	 	 	21
273 - 3297	 	 	24
1262 - 3298	 	 	3
4132 - 3299	 	 	8
4643 - 3300	 	 	16
2591 - 3301	 	 	3
3464 - 3302	 	 	7
3346 - 3303	 	 	17
920 - 3304	 	 	31
2022 - 3305	 	 	13
1431 - 3306	 	 	1
1993 - 3307	 	 	6
3731 - 3308	 	 	28
501 - 3309	 	 	6
4021 - 3310	 	 	13
4676 - 3311	 	 	4
4198 - 3312	 	 	27
2686 - 3313	 	 	4
1732 - 3314	 	 	26
36 - 3315	 	 	46
1424 - 3316	 	 	13
4868 - 3317	 	 	22
4543 - 3318	 	 	9
2749 - 3319	 	 	13
3667 - 3320	 	 	15
2562 - 3321	 	 	11
4368 - 3322	 	 	1
4493 - 3323	 	 	12
2408 - 3324	 	 	15
3564 - 3325	 	 	19
702 - 3326	 	 	2
2155 - 3327	 	 	13
3100 - 3328	 	 	10
3743 - 3329	 	 	3
484 - 3330	 	 	11
1956 - 3331	 	 	9
1032 - 3332	 	 	13
989 - 3333	 	 	22
2032 - 3334	 	 	3
143 - 3335	 	 	8
1804 - 3336	 	 	8
2055 - 3337	 	 	19
534 - 3338	 	 	18
2394 - 3339	 	 	20
1540 - 3340	 	 	2
1692 - 3341	 	 	8
182 - 3342	 	 	15
962 - 3343	 	 	20
160 - 3344	 	 	10
4187 - 3345	 	 	6
1040 - 3346	 	 	22
3550 - 3347	 	 	8
454 - 3348	 	 	17
3177 - 3349	 	 	18
3897 - 3350	 	 	23
4580 - 3351	 	 	27
2661 - 3352	 	 	11
2908 - 3353	 	 	11
1104 - 3354	 	 	9
3591 - 3355	 	 	24
173 - 3356	 	 	20
2989 - 3357	 	 	4
1822 - 3358	 	 	6
4776 - 3359	 	 	11
1785 - 3360	 	 	27
2955 - 3361	 	 	10
3792 - 3362	 	 	8
3395 - 3363	 	 	11
1997 - 3364	 	 	10
4359 - 3365	 	 	14
288 - 3366	 	 	1
874 - 3367	 	 	14
1681 - 3368	 	 	1
975 - 3369	 	 	9
3977 - 3370	 	 	15
2783 - 3371	 	 	4
3396 - 3372	 	 	22
2203 - 3373	 	 	4
2986 - 3374	 	 	9
3356 - 3375	 	 	22
1198 - 3376	 	 	27
458 - 3377	 	 	2
1878 - 3378	 	 	7
4883 - 3379	 	 	6
742 - 3380	 	 	3
2459 - 3381	 	 	1
4555 - 3382	 	 	24
3971 - 3383	 	 	14
717 - 3384	 	 	4
3371 - 3385	 	 	25
1984 - 3386	 	 	9
2151 - 3387	 	 	23
3425 - 3388	 	 	17
4839 - 3389	 	 	17
2 - 3390	 	 	8
1573 - 3391	 	 	5
2188 - 3392	 	 	10
1104 - 3393	 	 	26
3321 - 3394	 	 	12
1232 - 3395	 	 	5
1298 - 3396	 	 	17
985 - 3397	 	 	47
1912 - 3398	 	 	8
754 - 3399	 	 	24
4888 - 3400	 	 	25
1402 - 3401	 	 	22
1314 - 3402	 	 	6
604 - 3403	 	 	16
3061 - 3404	 	 	23
833 - 3405	 	 	14
4862 - 3406	 	 	8
786 - 3407	 	 	22
534 - 3408	 	 	19
4041 - 3409	 	 	7
4214 - 3410	 	 	7
822 - 3411	 	 	8
2548 - 3412	 	 	27
828 - 3413	 	 	18
371 - 3414	 	 	18
1232 - 3415	 	 	15
2854 - 3416	 	 	11
1259 - 3417	 	 	41
4906 - 3418	 	 	46
2948 - 3419	 	 	5
892 - 3420	 	 	13
257 - 3421	 	 	17
4500 - 3422	 	 	28
3720 - 3423	 	 	2
4533 - 3424	 	 	20
140 - 3425	 	 	11
1736 - 3426	 	 	12
3502 - 3427	 	 	32
3867 - 3428	 	 	9
2727 - 3429	 	 	22
4257 - 3430	 	 	19
4467 - 3431	 	 	1
2066 - 3432	 	 	2
2078 - 3433	 	 	19
2293 - 3434	 	 	16
3880 - 3435	 	 	28
3583 - 3436	 	 	13
3184 - 3437	 	 	22
2983 - 3438	 	 	23
1242 - 3439	 	 	8
4771 - 3440	 	 	7
4598 - 3441	 	 	7
2872 - 3442	 	 	3
1079 - 3443	 	 	4
1867 - 3444	 	 	4
4305 - 3445	 	 	15
479 - 3446	 	 	73
433 - 3447	 	 	4
1957 - 3448	 	 	2
4522 - 3449	 	 	19
2642 - 3450	 	 	20
2872 - 3451	 	 	15
4193 - 3452	 	 	21
1762 - 3453	 	 	11
4548 - 3454	 	 	44
530 - 3455	 	 	21
2435 - 3456	 	 	1
2653 - 3457	 	 	15
1092 - 3458	 	 	96
1092 - 3459	 	 	18
1214 - 3460	 	 	4
4417 - 3461	 	 	24
580 - 3462	 	 	12
3211 - 3463	 	 	18
3595 - 3464	 	 	14
1060 - 3465	 	 	18
3567 - 3466	 	 	1
406 - 3467	 	 	14
3565 - 3468	 	 	16
544 - 3469	 	 	15
4425 - 3470	 	 	13
2624 - 3471	 	 	44
2955 - 3472	 	 	2
2291 - 3473	 	 	10
3974 - 3474	 	 	21
2875 - 3475	 	 	4
3321 - 3476	 	 	14
4574 - 3477	 	 	17
644 - 3478	 	 	24
18 - 3479	 	 	16
2867 - 3480	 	 	12
3159 - 3481	 	 	1
1571 - 3482	 	 	21
2021 - 3483	 	 	10
1543 - 3484	 	 	23
2638 - 3485	 	 	8
4533 - 3486	 	 	9
51 - 3487	 	 	12
3414 - 3488	 	 	12
2571 - 3489	 	 	8
2215 - 3490	 	 	8
159 - 3491	 	 	4
1392 - 3492	 	 	1
2721 - 3493	 	 	15
1639 - 3494	 	 	29
4007 - 3495	 	 	24
2207 - 3496	 	 	13
2414 - 3497	 	 	13
3244 - 3498	 	 	16
3826 - 3499	 	 	14
676 - 3500	 	 	16
2196 - 3501	 	 	44
3134 - 3502	 	 	4
984 - 3503	 	 	15
4654 - 3504	 	 	27
1166 - 3505	 	 	35
2911 - 3506	 	 	8
4384 - 3507	 	 	19
4063 - 3508	 	 	16
4484 - 3509	 	 	8
2577 - 3510	 	 	9
3684 - 3511	 	 	53
3402 - 3512	 	 	12
4739 - 3513	 	 	15
401 - 3514	 	 	6
3987 - 3515	 	 	14
1976 - 3516	 	 	4
4258 - 3517	 	 	17
99 - 3518	 	 	19
3256 - 3519	 	 	29
3217 - 3520	 	 	5
714 - 3521	 	 	20
4552 - 3522	 	 	1
4914 - 3523	 	 	16
333 - 3524	 	 	19
4435 - 3525	 	 	6
551 - 3526	 	 	5
3413 - 3527	 	 	7
472 - 3528	 	 	23
142 - 3529	 	 	12
322 - 3530	 	 	11
1955 - 3531	 	 	27
4275 - 3532	 	 	31
2455 - 3533	 	 	1
2339 - 3534	 	 	9
3709 - 3535	 	 	14
2449 - 3536	 	 	7
2126 - 3537	 	 	4
3909 - 3538	 	 	5
832 - 3539	 	 	33
1336 - 3540	 	 	6
3772 - 3541	 	 	9
3193 - 3542	 	 	31
3803 - 3543	 	 	2
3578 - 3544	 	 	14
4894 - 3545	 	 	25
598 - 3546	 	 	7
4021 - 3547	 	 	18
4856 - 3548	 	 	1
3301 - 3549	 	 	18
2364 - 3550	 	 	1
894 - 3551	 	 	3
1778 - 3552	 	 	19
2550 - 3553	 	 	9
2709 - 3554	 	 	21
1226 - 3555	 	 	3
4103 - 3556	 	 	26
2974 - 3557	 	 	11
2879 - 3558	 	 	7
4216 - 3559	 	 	6
3072 - 3560	 	 	20
1902 - 3561	 	 	3
3047 - 3562	 	 	54
828 - 3563	 	 	3
4608 - 3564	 	 	14
2373 - 3565	 	 	17
3608 - 3566	 	 	27
1259 - 3567	 	 	11
1309 - 3568	 	 	16
4004 - 3569	 	 	15
490 - 3570	 	 	26
2337 - 3571	 	 	30
1709 - 3572	 	 	8
3682 - 3573	 	 	13
4716 - 3574	 	 	9
773 - 3575	 	 	68
1805 - 3576	 	 	25
4268 - 3577	 	 	4
3548 - 3578	 	 	11
1836 - 3579	 	 	22
316 - 3580	 	 	19
2135 - 3581	 	 	46
1864 - 3582	 	 	12
909 - 3583	 	 	10
1501 - 3584	 	 	13
1479 - 3585	 	 	12
885 - 3586	 	 	8
2359 - 3587	 	 	3
2472 - 3588	 	 	18
3208 - 3589	 	 	9
4496 - 3590	 	 	43
3813 - 3591	 	 	26
2368 - 3592	 	 	5
2060 - 3593	 	 	2
142 - 3594	 	 	21
475 - 3595	 	 	10
2152 - 3596	 	 	3
1076 - 3597	 	 	1
4770 - 3598	 	 	5
3300 - 3599	 	 	60
4984 - 3600	 	 	11
785 - 3601	 	 	17
515 - 3602	 	 	19
1467 - 3603	 	 	6
1411 - 3604	 	 	13
3058 - 3605	 	 	14
3048 - 3606	 	 	27
3317 - 3607	 	 	20
4231 - 3608	 	 	20
2083 - 3609	 	 	9
2435 - 3610	 	 	22
1803 - 3611	 	 	3
2817 - 3612	 	 	6
2970 - 3613	 	 	10
2392 - 3614	 	 	37
1844 - 3615	 	 	11
3766 - 3616	 	 	20
4476 - 3617	 	 	13
1004 - 3618	 	 	21
713 - 3619	 	 	13
963 - 3620	 	 	16
4752 - 3621	 	 	12
298 - 3622	 	 	2
187 - 3623	 	 	21
692 - 3624	 	 	3
4731 - 3625	 	 	6
1522 - 3626	 	 	15
994 - 3627	 	 	18
2227 - 3628	 	 	23
4994 - 3629	 	 	23
4751 - 3630	 	 	15
1022 - 3631	 	 	1
2947 - 3632	 	 	32
3976 - 3633	 	 	9
2364 - 3634	 	 	18
1616 - 3635	 	 	25
173 - 3636	 	 	5
3534 - 3637	 	 	29
63 - 3638	 	 	54
3655 - 3639	 	 	4
4031 - 3640	 	 	28
3592 - 3641	 	 	12
4531 - 3642	 	 	1
2817 - 3643	 	 	7
1008 - 3644	 	 	16
4994 - 3645	 	 	5
3286 - 3646	 	 	23
3425 - 3647	 	 	1
1992 - 3648	 	 	11
1703 - 3649	 	 	9
1403 - 3650	 	 	16
2348 - 3651	 	 	16
3681 - 3652	 	 	13
185 - 3653	 	 	6
3630 - 3654	 	 	13
1046 - 3655	 	 	15
2969 - 3656	 	 	16
2568 - 3657	 	 	13
1360 - 3658	 	 	14
887 - 3659	 	 	13
3100 - 3660	 	 	10
2376 - 3661	 	 	19
4176 - 3662	 	 	2
3148 - 3663	 	 	11
1708 - 3664	 	 	7
2727 - 3665	 	 	26
4616 - 3666	 	 	3
636 - 3667	 	 	18
2083 - 3668	 	 	15
4723 - 3669	 	 	14
1029 - 3670	 	 	37
664 - 3671	 	 	26
1202 - 3672	 	 	8
4140 - 3673	 	 	29
1924 - 3674	 	 	12
3843 - 3675	 	 	10
4113 - 3676	 	 	10
1743 - 3677	 	 	35
2089 - 3678	 	 	6
4450 - 3679	 	 	25
1931 - 3680	 	 	7
4897 - 3681	 	 	2
117 - 3682	 	 	4
2689 - 3683	 	 	17
392 - 3684	 	 	15
4710 - 3685	 	 	46
832 - 3686	 	 	42
2578 - 3687	 	 	6
3113 - 3688	 	 	33
2685 - 3689	 	 	11
4537 - 3690	 	 	61
4257 - 3691	 	 	20
1052 - 3692	 	 	17
587 - 3693	 	 	37
4077 - 3694	 	 	13
3444 - 3695	 	 	17
2315 - 3696	 	 	2
1281 - 3697	 	 	78
4370 - 3698	 	 	15
4416 - 3699	 	 	10
839 - 3700	 	 	25
1171 - 3701	 	 	13
3022 - 3702	 	 	17
3230 - 3703	 	 	45
392 - 3704	 	 	12
2830 - 3705	 	 	21
1153 - 3706	 	 	9
2271 - 3707	 	 	18
674 - 3708	 	 	16
209 - 3709	 	 	7
178 - 3710	 	 	17
415 - 3711	 	 	25
3289 - 3712	 	 	29
3828 - 3713	 	 	10
2174 - 3714	 	 	9
1705 - 3715	 	 	19
4991 - 3716	 	 	7
2722 - 3717	 	 	17
4497 - 3718	 	 	9
1989 - 3719	 	 	13
3500 - 3720	 	 	8
1736 - 3721	 	 	7
994 - 3722	 	 	48
4897 - 3723	 	 	13
3730 - 3724	 	 	33
3553 - 3725	 	 	25
89 - 3726	 	 	13
2502 - 3727	 	 	4
4662 - 3728	 	 	16
1478 - 3729	 	 	29
756 - 3730	 	 	11
4137 - 3731	 	 	17
1960 - 3732	 	 	47
482 - 3733	 	 	35
1083 - 3734	 	 	15
617 - 3735	 	 	23
3370 - 3736	 	 	4
2790 - 3737	 	 	10
3983 - 3738	 	 	1
2998 - 3739	 	 	2
2544 - 3740	 	 	13
3306 - 3741	 	 	20
1241 - 3742	 	 	43
2718 - 3743	 	 	12
2351 - 3744	 	 	7
1687 - 3745	 	 	7
1204 - 3746	 	 	13
4991 - 3747	 	 	6
4658 - 3748	 	 	34
2430 - 3749	 	 	20
800 - 3750	 	 	16
3586 - 3751	 	 	13
3019 - 3752	 	 	6
2957 - 3753	 	 	11
2686 - 3754	 	 	6
1215 - 3755	 	 	10
1063 - 3756	 	 	16
2256 - 3757	 	 	32
1202 - 3758	 	 	37
292 - 3759	 	 	16
1776 - 3760	 	 	12
3812 - 3761	 	 	14
4711 - 3762	 	 	16
1968 - 3763	 	 	7
704 - 3764	 	 	21
2817 - 3765	 	 	5
4351 - 3766	 	 	13
4544 - 3767	 	 	9
4790 - 3768	 	 	3
4374 - 3769	 	 	19
4652 - 3770	 	 	11
558 - 3771	 	 	12
3578 - 3772	 	 	16
4728 - 3773	 	 	19
1294 - 3774	 	 	2
2827 - 3775	 	 	11
906 - 3776	 	 	12
1062 - 3777	 	 	29
38 - 3778	 	 	15
3124 - 3779	 	 	14
4620 - 3780	 	 	1
3683 - 3781	 	 	4
4365 - 3782	 	 	26
1854 - 3783	 	 	29
2752 - 3784	 	 	1
678 - 3785	 	 	17
2638 - 3786	 	 	8
1671 - 3787	 	 	18
44 - 3788	 	 	25
2425 - 3789	 	 	3
3984 - 3790	 	 	20
353 - 3791	 	 	27
1877 - 3792	 	 	18
4937 - 3793	 	 	8
3597 - 3794	 	 	4
4229 - 3795	 	 	14
4651 - 3796	 	 	20
2138 - 3797	 	 	21
2411 - 3798	 	 	5
3827 - 3799	 	 	20
2559 - 3800	 	 	24
4275 - 3801	 	 	5
1384 - 3802	 	 	3
2298 - 3803	 	 	13
4797 - 3804	 	 	28
3426 - 3805	 	 	15
2277 - 3806	 	 	9
4544 - 3807	 	 	4
1062 - 3808	 	 	32
1442 - 3809	 	 	7
1581 - 3810	 	 	36
4462 - 3811	 	 	9
4007 - 3812	 	 	14
2169 - 3813	 	 	20
2814 - 3814	 	 	10
1645 - 3815	 	 	24
4934 - 3816	 	 	11
4078 - 3817	 	 	2
3261 - 3818	 	 	8
588 - 3819	 	 	6
1777 - 3820	 	 	41
58 - 3821	 	 	34
1572 - 3822	 	 	9
2550 - 3823	 	 	17
1727 - 3824	 	 	15
3802 - 3825	 	 	6
4423 - 3826	 	 	6
1800 - 3827	 	 	10
3716 - 3828	 	 	11
858 - 3829	 	 	5
4261 - 3830	 	 	4
1273 - 3831	 	 	10
2898 - 3832	 	 	11
3920 - 3833	 	 	25
398 - 3834	 	 	3
2546 - 3835	 	 	18
3894 - 3836	 	 	1
1281 - 3837	 	 	65
4280 - 3838	 	 	6
2227 - 3839	 	 	7
4932 - 3840	 	 	19
4177 - 3841	 	 	38
3326 - 3842	 	 	14
1417 - 3843	 	 	10
858 - 3844	 	 	15
124 - 3845	 	 	1
3869 - 3846	 	 	2
3953 - 3847	 	 	21
1004 - 3848	 	 	8
3131 - 3849	 	 	25
4034 - 3850	 	 	1
1751 - 3851	 	 	18
3390 - 3852	 	 	10
3555 - 3853	 	 	33
1396 - 3854	 	 	36
662 - 3855	 	 	12
3813 - 3856	 	 	11
4927 - 3857	 	 	15
2613 - 3858	 	 	2
2567 - 3859	 	 	16
4917 - 3860	 	 	33
1160 - 3861	 	 	16
570 - 3862	 	 	13
3185 - 3863	 	 	24
679 - 3864	 	 	8
1316 - 3865	 	 	5
3434 - 3866	 	 	8
638 - 3867	 	 	9
467 - 3868	 	 	30
4063 - 3869	 	 	12
1098 - 3870	 	 	9
2010 - 3871	 	 	18
3688 - 3872	 	 	31
1697 - 3873	 	 	14
1604 - 3874	 	 	13
4898 - 3875	 	 	33
2036 - 3876	 	 	15
177 - 3877	 	 	3
2300 - 3878	 	 	28
462 - 3879	 	 	29
4951 - 3880	 	 	11
2955 - 3881	 	 	26
4236 - 3882	 	 	6
3951 - 3883	 	 	17
242 - 3884	 	 	5
1624 - 3885	 	 	9
3141 - 3886	 	 	34
142 - 3887	 	 	13
4733 - 3888	 	 	3
2369 - 3889	 	 	8
664 - 3890	 	 	3
2940 - 3891	 	 	31
934 - 3892	 	 	40
3936 - 3893	 	 	51
3803 - 3894	 	 	14
797 - 3895	 	 	39
912 - 3896	 	 	33
1721 - 3897	 	 	21
3526 - 3898	 	 	2
4308 - 3899	 	 	42
3300 - 3900	 	 	13
4335 - 3901	 	 	5
4776 - 3902	 	 	12
577 - 3903	 	 	16
121 - 3904	 	 	13
4348 - 3905	 	 	12
3302 - 3906	 	 	45
1003 - 3907	 	 	15
1087 - 3908	 	 	8
144 - 3909	 	 	5
3807 - 3910	 	 	4
202 - 3911	 	 	7
3034 - 3912	 	 	4
1300 - 3913	 	 	1
3079 - 3914	 	 	39
554 - 3915	 	 	18
4899 - 3916	 	 	47
428 - 3917	 	 	16
1407 - 3918	 	 	16
1100 - 3919	 	 	26
2091 - 3920	 	 	14
3460 - 3921	 	 	28
616 - 3922	 	 	19
830 - 3923	 	 	9
4136 - 3924	 	 	5
4904 - 3925	 	 	25
2907 - 3926	 	 	23
3491 - 3927	 	 	5
3138 - 3928	 	 	2
4945 - 3929	 	 	26
4856 - 3930	 	 	11
952 - 3931	 	 	36
2353 - 3932	 	 	8
335 - 3933	 	 	6
2860 - 3934	 	 	28
2479 - 3935	 	 	3
1021 - 3936	 	 	4
758 - 3937	 	 	9
745 - 3938	 	 	44
1146 - 3939	 	 	14
3172 - 3940	 	 	11
3651 - 3941	 	 	3
513 - 3942	 	 	14
1843 - 3943	 	 	23
102 - 3944	 	 	15
1391 - 3945	 	 	26
2939 - 3946	 	 	7
85 - 3947	 	 	13
4815 - 3948	 	 	23
2370 - 3949	 	 	16
4736 - 3950	 	 	19
1956 - 3951	 	 	10
1008 - 3952	 	 	6
3973 - 3953	 	 	13
2609 - 3954	 	 	10
214 - 3955	 	 	1
651 - 3956	 	 	10
3435 - 3957	 	 	15
3630 - 3958	 	 	8
1839 - 3959	 	 	10
4588 - 3960	 	 	15
2527 - 3961	 	 	2
2251 - 3962	 	 	14
4272 - 3963	 	 	2
1322 - 3964	 	 	2
2439 - 3965	 	 	19
4904 - 3966	 	 	7
1582 - 3967	 	 	23
414 - 3968	 	 	12
2736 - 3969	 	 	6
3072 - 3970	 	 	1
3620 - 3971	 	 	20
2812 - 3972	 	 	38
32 - 3973	 	 	14
1872 - 3974	 	 	13
1501 - 3975	 	 	7
3148 - 3976	 	 	21
1913 - 3977	 	 	18
2750 - 3978	 	 	20
4218 - 3979	 	 	45
2597 - 3980	 	 	8
1154 - 3981	 	 	29
4159 - 3982	 	 	10
3621 - 3983	 	 	3
2788 - 3984	 	 	6
2357 - 3985	 	 	6
3388 - 3986	 	 	12
3241 - 3987	 	 	4
1170 - 3988	 	 	91
4613 - 3989	 	 	7
30 - 3990	 	 	34
4776 - 3991	 	 	2
1902 - 3992	 	 	32
4530 - 3993	 	 	3
1193 - 3994	 	 	27
2050 - 3995	 	 	5
3047 - 3996	 	 	3
2284 - 3997	 	 	18
1254 - 3998	 	 	38
723 - 3999	 	 	1
2310 - 4000	 	 	30
2907 - 4001	 	 	17
4443 - 4002	 	 	6
351 - 4003	 	 	33
4470 - 4004	 	 	10
3044 - 4005	 	 	34
4180 - 4006	 	 	21
2293 - 4007	 	 	18
906 - 4008	 	 	14
4291 - 4009	 	 	24
1410 - 4010	 	 	17
2126 - 4011	 	 	33
3081 - 4012	 	 	22
726 - 4013	 	 	23
2074 - 4014	 	 	25
3288 - 4015	 	 	2
4260 - 4016	 	 	10
553 - 4017	 	 	13
2114 - 4018	 	 	35
1706 - 4019	 	 	3
2895 - 4020	 	 	10
3073 - 4021	 	 	12
4971 - 4022	 	 	7
1065 - 4023	 	 	6
4301 - 4024	 	 	16
3490 - 4025	 	 	14
3936 - 4026	 	 	6
794 - 4027	 	 	7
2958 - 4028	 	 	13
4863 - 4029	 	 	8
210 - 4030	 	 	7
2166 - 4031	 	 	33
3761 - 4032	 	 	16
1232 - 4033	 	 	42
306 - 4034	 	 	10
2294 - 4035	 	 	31
4257 - 4036	 	 	12
346 - 4037	 	 	14
4096 - 4038	 	 	3
36 - 4039	 	 	14
268 - 4040	 	 	17
1266 - 4041	 	 	4
2237 - 4042	 	 	11
3880 - 4043	 	 	39
2240 - 4044	 	 	14
344 - 4045	 	 	18
4160 - 4046	 	 	7
1926 - 4047	 	 	8
1353 - 4048	 	 	37
1217 - 4049	 	 	3
4983 - 4050	 	 	21
991 - 4051	 	 	43
1811 - 4052	 	 	1
4765 - 4053	 	 	11
4361 - 4054	 	 	3
180 - 4055	 	 	11
1141 - 4056	 	 	8
2988 - 4057	 	 	13
4078 - 4058	 	 	4
425 - 4059	 	 	7
3231 - 4060	 	 	23
2930 - 4061	 	 	41
4943 - 4062	 	 	1
974 - 4063	 	 	13
4790 - 4064	 	 	3
4017 - 4065	 	 	26
1390 - 4066	 	 	6
66 - 4067	 	 	1
4194 - 4068	 	 	2
1818 - 4069	 	 	16
16 - 4070	 	 	43
4635 - 4071	 	 	1
1362 - 4072	 	 	16
2714 - 4073	 	 	14
1163 - 4074	 	 	35
4567 - 4075	 	 	5
1328 - 4076	 	 	3
1637 - 4077	 	 	5
4465 - 4078	 	 	1
4750 - 4079	 	 	77
3115 - 4080	 	 	26
1955 - 4081	 	 	17
1500 - 4082	 	 	23
2957 - 4083	 	 	20
1063 - 4084	 	 	32
4615 - 4085	 	 	17
41 - 4086	 	 	2
2048 - 4087	 	 	45
4904 - 4088	 	 	16
2188 - 4089	 	 	18
4828 - 4090	 	 	15
4966 - 4091	 	 	19
4447 - 4092	 	 	17
1685 - 4093	 	 	10
4506 - 4094	 	 	16
153 - 4095	 	 	12
365 - 4096	 	 	12
236 - 4097	 	 	12
2336 - 4098	 	 	34
1089 - 4099	 	 	10
2627 - 4100	 	 	3
2867 - 4101	 	 	4
2847 - 4102	 	 	8
4926 - 4103	 	 	4
528 - 4104	 	 	25
3652 - 4105	 	 	8
2526 - 4106	 	 	5
2651 - 4107	 	 	35
204 - 4108	 	 	10
1118 - 4109	 	 	9
1032 - 4110	 	 	24
4156 - 4111	 	 	5
1888 - 4112	 	 	16
1366 - 4113	 	 	18
482 - 4114	 	 	29
1840 - 4115	 	 	15
1047 - 4116	 	 	43
3729 - 4117	 	 	2
3072 - 4118	 	 	3
2396 - 4119	 	 	15
2466 - 4120	 	 	16
3153 - 4121	 	 	12
2898 - 4122	 	 	25
